time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2;product_humidity
600.0;39.25;20.11;39.76;34.4;52.24;28.63;62.02;32.13;8.6
1200.0;39.14;20.01;40.55;34.96;51.58;28.89;64.64;32.7;8.06
1800.0;39.01;19.86;42.61;37.37;50.5;29.25;64.59;33.26;10.81
2400.0;39.1;19.95;43.86;38.65;49.93;29.51;61.5;34.09;11.1
3000.0;38.77;19.6;48.26;42.81;49.16;29.92;53.53;36.09;7.84
3600.0;38.52;19.37;50.37;44.68;48.03;30.17;48.18;37.89;7.88
4200.0;38.32;19.19;51.88;46.11;47.1;30.48;44.84;39.18;6.35
4800.6;37.97;18.82;52.47;46.59;46.33;30.64;42.78;39.9;7.6
5220.3;37.95;18.77;52.47;46.67;46.07;30.79;41.49;40.06;6.29
